@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
295,34,21,165,0,1,?
336,21,27,140,1,0,?
72,3,2,11,0,0,?
138,6,7,34,0,1,?
325,24,24,128,0,0,?
84,2,7,15,0,0,?
145,4,13,19,0,0,?
75,3,5,30,0,0,?
242,13,21,84,0,1,?
237,22,17,130,0,1,?
113,11,9,43,0,0,?
65,3,4,15,0,0,?
88,0,9,33,0,0,?
74,4,5,16,0,0,?
386,15,35,114,0,1,?
173,19,11,94,0,0,?
1235,123,95,629,0,4,?
256,11,22,59,0,1,?
101,4,5,13,0,0,?
219,16,15,54,0,0,?
362,23,30,143,0,3,?
136,9,6,46,0,0,?
193,8,11,55,0,0,?
227,22,17,128,0,0,?
101,14,3,32,0,0,?
625,57,43,300,0,3,?
77,6,4,17,0,0,?
91,4,9,2,0,0,?
167,20,8,88,0,0,?
107,8,5,34,0,0,?
77,7,4,17,0,0,?
307,33,19,258,0,0,?
34,1,2,0,0,0,?
140,7,9,40,0,0,?
368,18,36,243,1,0,?
56,6,2,16,0,0,?
90,1,8,25,0,0,?
109,7,9,67,0,0,?
189,11,14,58,0,1,?
75,6,4,15,0,0,?
179,20,11,101,0,0,?
346,40,31,236,0,1,?
110,7,6,34,0,0,?
126,9,5,27,0,1,?
44,1,4,0,0,0,?
201,23,11,82,0,0,?
142,19,8,60,0,0,?
253,23,14,119,0,0,?
179,11,11,51,0,2,?
35,0,1,1,0,0,?
135,22,9,74,0,0,?
83,3,6,34,0,0,?
87,8,5,19,0,0,?
236,22,19,105,0,1,?
133,5,9,37,0,1,?
75,4,5,24,0,0,?
205,12,17,82,0,0,?
176,17,10,55,0,0,?
43,1,1,6,0,0,?
963,135,59,540,0,2,?
260,9,33,145,0,0,?
82,1,4,18,0,0,?
116,6,6,34,0,0,?
147,9,8,27,0,0,?
133,2,7,65,0,2,?
39,0,0,0,0,0,?
350,37,27,156,0,1,?
277,27,22,116,0,2,?
68,3,4,22,0,0,?
156,11,13,48,0,0,?
301,35,16,91,0,4,?
339,30,22,161,0,0,?
108,14,6,45,0,0,?
139,6,7,68,0,1,?
45,0,2,0,0,0,?
94,6,4,21,0,0,?
115,13,7,47,0,0,?
43,0,2,0,0,0,?
150,13,12,94,0,0,?
86,4,4,22,0,0,?
136,2,8,58,0,0,?
330,24,28,124,0,1,?
126,12,4,33,0,2,?
49,0,2,5,0,0,?
191,15,10,85,0,1,?
88,7,5,22,0,2,?
281,20,22,134,0,0,?
182,12,10,62,0,2,?
125,11,9,34,0,0,?
180,21,13,91,0,0,?
49,1,1,4,0,0,?
68,3,2,5,0,1,?
77,4,5,14,0,0,?
117,2,8,19,0,1,?
114,2,9,17,0,1,?
187,14,16,51,0,1,?
91,5,6,15,0,0,?
354,10,31,52,0,0,?
157,12,13,47,0,0,?
101,2,4,12,0,1,?
38,0,1,0,0,0,?
38,0,1,0,0,0,?
114,17,6,44,0,0,?
134,6,9,22,0,1,?
46,0,2,0,0,0,?
39,0,1,0,0,0,?
115,9,8,32,0,0,?
94,1,6,23,0,0,?
84,1,5,16,0,0,?
116,5,8,24,0,0,?
83,0,4,8,0,0,?
235,6,19,84,0,2,?
659,10,55,188,0,0,?
202,26,25,132,0,0,?
121,2,8,19,0,1,?
86,6,7,21,0,0,?
84,7,5,31,0,0,?
368,35,23,180,0,0,?
137,5,9,35,0,0,?
429,3,47,131,0,1,?
71,1,3,6,0,0,?
44,0,2,3,0,1,?
97,2,9,8,0,1,?
89,10,4,20,0,0,?
55,1,2,6,0,1,?
181,18,10,59,0,2,?
372,18,32,129,0,0,?
155,12,9,35,0,1,?
656,49,22,414,0,0,?
138,10,8,71,0,0,?
57,3,3,14,0,0,?
194,20,14,82,0,0,?
413,31,29,159,0,1,?
107,3,2,48,0,0,?
345,30,17,91,0,1,?
41,0,0,0,0,0,?
50,2,1,5,0,0,?
61,4,3,9,0,0,?
56,3,1,15,0,0,?
156,5,6,26,0,1,?
213,17,13,84,0,0,?
180,15,11,54,0,0,?
393,22,30,131,0,1,?
162,22,12,81,0,0,?
181,21,8,143,0,0,?
216,33,19,115,0,0,?
123,8,9,48,0,0,?
164,14,10,80,0,0,?
217,14,18,112,0,4,?
185,19,9,49,0,0,?
53,2,6,0,0,0,?
106,4,12,28,0,0,?
80,6,7,3,0,0,?
43,1,3,2,0,1,?
167,10,10,61,0,0,?
104,13,4,37,0,0,?
602,47,44,245,0,2,?
69,4,1,9,0,0,?
135,15,7,50,0,0,?
385,32,29,140,0,0,?
83,3,6,34,0,0,?
206,22,18,95,0,1,?
98,0,13,49,0,0,?
128,6,8,41,0,0,?
160,18,9,61,0,0,?
49,3,1,9,0,0,?
134,8,10,39,0,1,?
465,39,35,223,0,0,?
77,3,2,13,0,0,?
342,39,24,213,0,0,?
281,23,12,204,0,0,?
93,4,7,46,0,0,?
608,63,47,333,0,1,?
567,68,33,323,0,2,?
100,14,6,44,0,0,?
81,7,7,43,0,0,?
136,11,10,48,0,1,?
29,0,0,0,0,0,?
64,2,2,4,0,0,?
28,0,1,0,0,0,?
73,6,7,3,0,0,?
21,0,0,0,0,0,?
253,15,15,97,0,0,?
143,2,7,31,0,1,?
121,2,6,24,0,0,?
192,29,16,74,0,3,?
52,3,4,1,0,0,?
23,0,0,0,0,0,?
26,0,0,0,0,0,?
32,0,3,0,0,0,?
69,6,7,3,0,0,?
48,3,1,6,0,0,?
